int32 0,string2 1,empty 2,empty 3,string2 4,string2 5,float 6,float 7,float 8,float 9,float 10,float 11,float 12,float 13,int32 14,float 15,float 16,float 17,float 18,float 19,float 20,float 21,float 22,float 23,float 24,int32 25,float 26,float 27,string2 28,int32 29
308,"chr364",,,"ba01","J_indexR",0,-90,0,0.9,0,-90,0,1.05,1,13,13.29,13.57,13.86,14.14,14.43,14.71,15,16,0,8,0.48,0.5,"",2
309,"chr364",,,"ba01","J_thumbR",0,-90,0,0.9,0,-90,0,1.05,1,13,13.29,13.57,13.86,14.14,14.43,14.71,15,16,0,8,0.48,0.48,"",2
310,"chr181",,,"ba01","J_weapon",0,0,0,0.3,0,0,0,1.5,1,16,16.43,16.86,17.29,17.71,18.14,18.57,19,18,2,60,0,0,"",2
311,"chr080",,,"ba01","J_knife",0,180,0,0.3,0,180,0,0.7,0,8,12,-1,-1,-1,-1,-1,-1,12,2,30,0,0,"",2
312,"chr458",,,"ba01","J_finger_r",0,-55,0,0.175,0,-60,0,0.2,1,15,15.29,15.57,15.86,16.14,16.43,16.71,17,18,0,8,0.52,0.5,"",2
313,"chr458",,,"ba01","J_finger_r",0,-90,0,0.175,0,-90,0,0.2,1,15,15.29,15.57,15.86,16.14,16.43,16.71,17,18,0,8,0.52,0.5,"",2
314,"chr458",,,"ba01","J_finger_r",0,-125,0,0.175,0,-120,0,0.2,1,15,15.29,15.57,15.86,16.14,16.43,16.71,17,18,0,8,0.52,0.5,"",2
315,"chr383",,,"ba01","J_fingerL",17,120,0,1,14,125,0,1.2,1,15,15.29,15.57,15.86,16.14,16.43,16.71,17,18,0,8,0.46,0.5,"",2
316,"chr383",,,"ba01","J_fingerL",-17,120,0,1,-14,125,0,1.2,1,15,15.29,15.57,15.86,16.14,16.43,16.71,17,18,0,8,0.46,0.5,"",2
317,"chr270",,,"ba01","J_handfinger02_r",20,0,0,0.7,20,0,0,0.8,1,16,16.29,16.57,16.86,17.14,17.43,17.71,18,18,0,8,0.48,0.52,"",2
318,"chr270",,,"ba01","J_handfinger02_r",20,-35,0,0.7,20,-31,0,0.8,1,16,16.29,16.57,16.86,17.14,17.43,17.71,18,18,0,8,0.48,0.52,"",2
319,"chr270",,,"ba01","J_handfinger02_r",20,35,0,0.7,20,31,0,0.8,1,16,16.29,16.57,16.86,17.14,17.43,17.71,18,18,0,8,0.48,0.52,"",2
320,"chr190",,,"ba01","J_finger03_r",0,-90,0,0.2,0,-90,0,0.25,1,16,16.29,16.57,16.86,17.14,17.43,17.71,18,19,0,8,0.46,0.46,"",2
321,"chr190",,,"ba01","J_finger02_r",0,-90,0,0.2,0,-90,0,0.25,1,16,16.29,16.57,16.86,17.14,17.43,17.71,18,19,0,8,0.46,0.46,"",2
322,"chr190",,,"ba01","J_finger01_r",0,-90,0,0.2,0,-90,0,0.25,1,16,16.29,16.57,16.86,17.14,17.43,17.71,18,19,0,8,0.46,0.46,"",2
323,"chr002",,,"ba01","J_hand_r",0,-90,0,0.2,0,-90,0,0.3,1,24,24.57,25.14,25.71,26.29,26.86,27.43,28,-1,0,8,0.48,0.48,"",2
324,"chr002",,,"ba01","J_hand_r",0,-70,0,0.2,0,-75,0,0.3,1,24,24.57,25.14,25.71,26.29,26.86,27.43,28,-1,0,8,0.48,0.48,"",2
325,"chr002",,,"ba01","J_hand_r",0,-110,0,0.2,0,-105,0,0.3,1,24,24.57,25.14,25.71,26.29,26.86,27.43,28,-1,0,8,0.48,0.48,"",2
326,"chr740",,,"ba01","J_weapon",-10,90,0,0.3,-3,90,0,1.15,1,15,15.57,16.14,16.71,17.29,17.86,18.43,19,-1,0,8,0,0,"",2
327,"chr072",,,"ba01","J_weapon",0,0,0,0.5,0,0,0,2.8,1,17,17.57,18.14,18.71,19.29,19.86,20.43,21,21,2,8,0,0,"",2
328,"chr077",,,"ba01","tail",-125,0,0,0.4,135,0,0,1.7,0,15,22,-1,-1,-1,-1,-1,-1,-1,4,8,0,0,"",2
329,"chr107",,,"ba01","J_finger01_l",50,70,0,0.35,50,70,0,0.45,1,11,11.43,11.86,12.29,12.71,13.14,13.57,14,-1,0,8,0.5,0.5,"",2
330,"chr107",,,"ba01","J_finger01_l",50,90,0,0.35,50,90,0,0.45,1,11,11.43,11.86,12.29,12.71,13.14,13.57,14,-1,0,8,0.5,0.5,"",2
331,"chr107",,,"ba01","J_finger01_l",50,110,0,0.35,50,110,0,0.45,1,11,11.43,11.86,12.29,12.71,13.14,13.57,14,-1,0,8,0.5,0.5,"",2
332,"chr703",,,"ba01","J_sword",0,0,0,0.1,0,0,0,0.95,1,15,15.43,15.86,16.29,16.71,17.14,17.54,18,18,2,20,0,0,"",2
333,"chr703",,,"ba01","J_sword",0,0,0,0.1,0,0,0,0.95,1,28,28.57,29.14,29.71,30.29,30.86,31.43,32,32,2,20,0,0,"",2
334,"chr485",,,"ba01","J_hand_r",-10,-90,0,0.7,-5,-90,0,0.8,1,11,11.43,11.86,12.29,12.71,13.14,13.57,14,-1,0,8,0.52,0.48,"",2
335,"chr185a",,,"ba01","J_weapon06_r",-15,-90,0,0.15,12,-90,0,0.65,1,10.5,10.71,10.93,11.14,11.36,11.57,11.79,12,13,-1,30,0,0,"",2
336,"chr185a",,,"ba01","J_weapon06_l",-15,90,0,0.15,12,90,0,0.65,1,10.5,10.71,10.93,11.14,11.36,11.57,11.79,12,13,-1,30,0,0,"",2
337,"chr603",,,"ba01","J_weapon",0,-20,0,1,0,-9,0,1.9,0,17,17.29,17.57,17.86,18.14,18.43,18.71,19,20,0,30,0,0,"",2
